Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,5327224,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.75086011,1775741.333,3074960.624,5326400,79,5327224,2663612.0,3765750.903,5326400,824,0,0.0,0.0,0,0,0,0,0,0,104,40,0.563145083,0.187715028,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
53,93982,4,2,140,200,35,35,35.0,0.0,100,100,100.0,0.0,3617.71403,63.8420123,18796.4,27814.83126,61915,3,32064,10688.0,18506.96288,32058,3,3,3.0,0.0,3,3,0,0,0,0,104,40,42.56134153,21.28067077,35,100,53.57142857,31.71675237,1005.952381,0,0,0,0,0,0,0,0,0,62.5,35.0,100.0,104,0,0,0,0,0,0,4,140,2,200,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,118426147,35,35,1707,21083,511,0,48.77142857,133.6573947,2780,0,602.3714286,775.5665514,192.4406103,0.591085683,1716320.971,3693193.097,10000000,3,118000000,3483121.971,4688097.584,10100000,3,114000000,3341535.618,4721905.781,10100000,49,0,0,0,0,1128,1128,0.295542842,0.295542842,0,2780,320.9859155,615.5866538,378946.9284,0,0,0,1,0,0,0,0,1,325.5714286,48.77142857,602.3714286,1128,0,0,0,0,0,0,35,1707,35,21083,29200,6056,6,32,314094.1818,931131.4104,3121561,33150,10000000.0,4555.454407,10000000,10000000,0
80,5357988,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.746548891,1785996.0,3092623.497,5357050,166,5357988,2678994.0,3787343.116,5357050,938,0,0.0,0.0,0,0,0,0,0,0,104,40,0.559911668,0.186637223,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5495521,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.727865474,1831840.333,3172092.298,5494657,117,5495521,2747760.5,3884698.285,5494657,864,0,0.0,0.0,0,0,0,0,0,0,104,40,0.545899106,0.181966369,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,8821808,4,4,602,364,602,0,150.5,301.0,364,0,91.0,182.0,109.501363,0.906843586,1260258.286,2177232.488,5002993,66,3818815,1272938.333,2198721.99,3811802,889,8821718,2940572.667,2610678.036,5003571,5480,0,0,0,0,136,136,0.453421793,0.453421793,0,602,107.3333333,221.137966,48902.0,0,0,0,1,0,0,0,0,1,120.75,150.5,91.0,136,0,0,0,0,0,0,4,602,4,364,29200,236,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5763157,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.694064035,1921052.333,3326764.429,5762469,96,5763157,2881578.5,4074194.417,5762469,688,0,0.0,0.0,0,0,0,0,0,0,104,40,0.520548026,0.173516009,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
53,83661,4,2,188,212,47,47,47.0,0.0,106,106,106.0,0.0,4781.20032,71.71800481,16732.2,24050.26458,52257,4,31356,10452.0,18096.46684,31348,4,48,48.0,0.0,48,48,0,0,0,0,80,64,47.8120032,23.9060016,47,106,63.85714286,28.78905215,828.8095238,0,0,0,0,0,0,0,0,0,74.5,47.0,106.0,80,0,0,0,0,0,0,4,188,2,212,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
58642,79,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25316.4557,79.0,0.0,79,79,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12658.22785,12658.22785,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,972,301,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5722178,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.699034528,1907392.667,3302867.914,5721216,105,5722178,2861089.0,4044830.394,5721216,962,0,0.0,0.0,0,0,0,0,0,0,104,40,0.524275896,0.174758632,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5965293,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.670545437,1988431.0,3443365.516,5964487,101,5965293,2982646.5,4216959.276,5964487,806,0,0.0,0.0,0,0,0,0,0,0,104,40,0.502909078,0.167636359,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5006127,4,4,447,530,447,0,111.75,223.5,530,0,132.5,265.0,195.1608499,1.59804176,715161.0,1889619.815,5000415,4,5712,1904.0,2168.235227,4266,4,5005996,1668665.333,2885896.206,5001011,1407,0,0,0,0,136,136,0.79902088,0.79902088,0,530,108.5555556,216.4053552,46831.27778,0,0,0,1,0,0,0,0,1,122.125,111.75,132.5,136,0,0,0,0,0,0,4,447,4,530,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5375369,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.744134961,1791789.667,3102727.71,5374511,70,5375369,2687684.5,3799746.476,5374511,858,0,0.0,0.0,0,0,0,0,0,0,104,40,0.558101221,0.18603374,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5891104,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.67898988,1963701.333,3400648.518,5890432,122,5891104,2945552.0,4164689.236,5890432,672,0,0.0,0.0,0,0,0,0,0,0,104,40,0.50924241,0.16974747,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,21,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,95238.09524,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,47619.04762,47619.04762,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1444,1176,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5217126,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.766705654,1739042.0,3011353.942,5216254,126,5217126,2608563.0,3687831.979,5216254,872,0,0.0,0.0,0,0,0,0,0,0,104,40,0.57502924,0.191676413,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,34239697,203,104,43951,72204,602,0,216.5073892,228.6511756,1068,0,694.2692308,362.7576214,3392.407357,8.96620084,111894.4346,298063.4282,2545519,32,34200000,169488.2376,353631.4969,2545519,706,34200000,332423.3301,462951.7631,2546163,48,0,0,0,0,6504,3336,5.928790783,3.037410057,0,1068,377.1266234,360.7561371,130144.9904,0,0,0,1,0,0,0,0,0,378.3550489,216.5073892,694.2692308,6504,0,0,0,0,0,0,203,43951,104,72204,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,9791186,4,4,383,370,383,0,95.75,191.5,370,0,92.5,185.0,76.90590292,0.817061386,1398740.857,2388776.325,5004544,131,4786642,1595547.333,2761346.893,4784076,673,9791049,3263683.0,2827562.83,5005131,1175,0,0,0,0,136,136,0.408530693,0.408530693,0,383,83.66666667,166.0527025,27573.5,0,0,0,1,0,0,0,0,1,94.125,95.75,92.5,136,0,0,0,0,0,0,4,383,4,370,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
443,16075810,11,9,1300,5440,677,0,118.1818182,215.3716872,1460,0,604.4444444,700.626882,419.2634772,1.244105274,846095.2632,2542965.981,9962332,4,16100000,1607581.0,3420406.813,9962332,4,10400000,1304220.625,3559877.507,10100000,208,0,0,0,0,244,192,0.684257901,0.559847373,0,1460,320.952381,532.4222456,283473.4476,0,0,0,1,0,0,0,0,0,337.0,118.1818182,604.4444444,244,0,0,0,0,0,0,11,1300,9,5440,8192,10240,9,20,286357.0,261588.4968,471328,101386,7751546.0,3126523.545,9962332,5540760,0
53,47449,1,1,42,223,42,42,42.0,0.0,223,223,223.0,0.0,5584.943834,42.15051951,47449.0,0.0,47449,47449,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,21.07525975,21.07525975,42,223,102.3333333,104.5003987,10920.33333,0,0,0,0,0,0,0,0,1,153.5,42.0,223.0,32,0,0,0,0,0,0,1,42,1,223,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5297427,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.755083553,1765809.0,3057714.88,5296554,125,5297427,2648713.5,3744611.946,5296554,873,0,0.0,0.0,0,0,0,0,0,0,104,40,0.566312665,0.188770888,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5826282,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.68654418,1942094.0,3363210.529,5825595,126,5826282,2913141.0,4118831.947,5825595,687,0,0.0,0.0,0,0,0,0,0,0,104,40,0.514908135,0.171636045,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5121592,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.781007156,1707197.333,2956172.25,5120691,118,5121592,2560796.0,3620238.227,5120691,901,0,0.0,0.0,0,0,0,0,0,0,104,40,0.585755367,0.195251789,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5973085,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.669670698,1991028.333,3447969.878,5972401,124,5973085,2986542.5,4222641.586,5972401,684,0,0.0,0.0,0,0,0,0,0,0,104,40,0.502253023,0.167417674,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
51689,4,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,250000.0,250000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,32,252,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5581799,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.71661484,1860599.667,3221892.8,5580921,124,5581799,2790899.5,3945686.245,5580921,878,0,0.0,0.0,0,0,0,0,0,0,104,40,0.53746113,0.17915371,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5638432,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.709417086,1879477.333,3254752.687,5637742,72,5638432,2819216.0,3985997.695,5637742,690,0,0.0,0.0,0,0,0,0,0,0,104,40,0.532062815,0.177354272,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5078793,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.787588705,1692931.0,2931489.08,5077923,125,5078793,2539396.5,3590018.605,5077923,870,0,0.0,0.0,0,0,0,0,0,0,104,40,0.590691528,0.196897176,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5832040,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.685866352,1944013.333,3366520.189,5831336,135,5832040,2916020.0,4122879.426,5831336,704,0,0.0,0.0,0,0,0,0,0,0,104,40,0.514399764,0.171466588,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
53,24517,1,1,95,223,95,95,95.0,0.0,223,223,223.0,0.0,12970.59183,81.57604927,24517.0,0.0,24517,24517,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,40.78802464,40.78802464,95,223,137.6666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,206.5,95.0,223.0,20,0,0,0,0,0,0,1,95,1,223,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,119017092,15,13,587,4308,201,0,39.13333333,64.5444107,1418,0,331.3846154,540.1304686,41.12854648,0.235260327,4408040.444,15800000.0,59900000,0,119000000,8501220.857,21500000.0,59900000,203,119000000,9915096.667,23000000.0,59900000,0,0,0,0,0,500,424,0.126032318,0.109228009,0,1418,168.7931034,386.5390739,149412.4557,0,0,0,1,0,0,0,0,0,174.8214286,39.13333333,331.3846154,500,0,0,0,0,0,0,15,587,13,4308,29200,349,6,32,355559.0,451641.8291,674918,36200,59100000.0,1013814.348,59900000,58400000,0
443,18479770,11,12,1159,4537,441,0,105.3636364,160.7832533,1871,0,378.0833333,633.5245505,308.2289444,1.244604235,839989.5455,2378395.326,9950875,4,12800000,1283123.8,3095630.829,9950875,21817,18500000,1677712.364,3245969.413,10000000,4,0,0,0,0,232,264,0.595245504,0.649358731,0,1871,237.3333333,473.609146,224305.6232,0,0,0,1,0,0,0,0,1,247.6521739,105.3636364,378.0833333,232,0,0,0,0,0,0,11,1159,12,4537,8192,35,10,20,1452830.0,2018836.529,2880363,25297,7787053.0,3060106.419,9950875,5623231,0
53,32394,2,2,58,90,29,29,29.0,0.0,45,45,45.0,0.0,4568.747299,123.4796567,10798.0,18697.48847,32388,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,64,61.73982836,61.73982836,29,45,35.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,44.25,29.0,45.0,40,0,0,0,0,0,0,2,58,2,90,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5642528,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.708902109,1880842.667,3256962.501,5641659,100,5642528,2821264.0,3988640.86,5641659,869,0,0.0,0.0,0,0,0,0,0,0,104,40,0.531676582,0.177225527,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5056367,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.791081818,1685455.667,2918526.7,5055480,135,5056367,2528183.5,3574136.986,5055480,887,0,0.0,0.0,0,0,0,0,0,0,104,40,0.593311364,0.197770455,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
53,205,2,2,154,218,77,77,77.0,0.0,109,109,109.0,0.0,1814634.146,19512.19512,68.33333333,79.47536306,156,1,48,48.0,0.0,48,48,1,1.0,0.0,1,1,0,0,0,0,40,40,9756.097561,9756.097561,77,109,89.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,112.25,77.0,109.0,40,0,0,0,0,0,0,2,154,2,218,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5848224,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.68396833,1949408.0,3375717.674,5847351,131,5848224,2924112.0,4134084.24,5847351,873,0,0.0,0.0,0,0,0,0,0,0,104,40,0.512976247,0.170992082,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5400145,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.740720851,1800048.333,3117166.364,5399442,101,5400145,2700072.5,3817484.957,5399442,703,0,0.0,0.0,0,0,0,0,0,0,104,40,0.555540638,0.185180213,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5838919,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.685058313,1946306.333,3370338.504,5838038,116,5838919,2919459.5,4127493.298,5838038,881,0,0.0,0.0,0,0,0,0,0,0,104,40,0.513793735,0.171264578,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5929169,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.674630796,1976389.667,3422462.553,5928309,96,5929169,2964584.5,4191339.383,5928309,860,0,0.0,0.0,0,0,0,0,0,0,104,40,0.505973097,0.168657699,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
443,5920707,10,7,629,2920,342,0,62.9,115.29137,1380,2,417.1428571,658.4685334,599.4216569,2.871278717,370044.1875,1415495.989,5677205,1,5920707,657856.3333,1882702.628,5677205,1,134545,22424.16667,33553.61239,65975,1,0,0,0,0,220,144,1.688987481,1.182291237,0,1380,197.1666667,439.1830986,192881.7941,0,0,0,1,0,0,0,0,0,208.7647059,62.9,417.1428571,220,0,0,0,0,0,0,10,629,7,2920,29200,64995,9,20,243499.0,0.0,243499,243499,5677205.0,0.0,5677205,5677205,0
443,5208882,8,5,378,3002,197,0,47.25,73.61046121,1483,2,600.4,795.4761467,648.8916432,2.495737089,434073.5,1360212.22,4748959,3,5208882,744126.0,1768756.085,4748959,3,178614,44653.5,50471.40119,90816,259,0,0,0,0,172,104,1.535838209,0.95989888,0,1483,241.4285714,524.2790969,274868.5714,0,0,0,1,0,0,0,0,0,260.0,47.25,600.4,172,0,0,0,0,0,0,8,378,5,3002,8192,30016,7,20,0.0,0.0,0,0,0.0,0.0,0,0,0
